node	verdict	shot	note
11707-323740	match	-	Gauge voting - empty at 375, read live 2026-09-21: get_metadata on `Frame 280` (11707:323644, 343x204) and get_design_context on `description` (11707:323648). The pair is the Sm rung - Manrope Regular 14 on 18 tracked -4% in Core/White over Manrope Regular 12 on 14 tracked -4% in App/Ash #95A09F, 4 apart, `middle` 330 at (6.5,56), `Frame 242` 24 under it with one visible 140x32 control centred at x=95. Both lines had been drawn at 15px on 19 in muted-foreground; built in 860e45721, with the sentence pinned at 14 below md so this width does not inherit the tablet's 16. Frame 297 (11707:323659) 311x16 stays held inside the 204.
11667-309312	partial	-	Airdrop claim panel at 768, read live 2026-09-21 with get_design_context on `middle` (11667:309331). Two measured gaps in this lane's own file, both built in 399c51142. `description` (11667:309332) is Manrope Regular 14 on 18.048 tracked -4% in Core/White over Manrope Regular 12 on 16 tracked -4% in App/Ash; the page drew 16px semibold over a 14px line in muted-foreground with md:leading-[19px], and 19 is the text box rounded up rather than a line. `Frame 639` (11667:309335) is a flat Green Coal 200 #122524 pill, no border, radius 16, 0 10 80 rgba(0,0,0,0.25), Mulish Regular 14 on 16 with the label in Ash and the address in Core/White; the page drew a bordered bg-muted/10 tray at radius 8 with a mono address. PARTIAL, not match, on three things no lane may decide: Frame 297 (11667:309347) undrawn, the childless card 11667:309321 answered with an empty half, and the stat grid and vesting bar the board has no node for - all three raised at the wave 53 close (WAVE53-INTEGRITY.md:109) and unanswered. (3) AND THE HEAD, read the same day on `Frame 879` (11667:309317) and built in c6f43e8a9: the title's leading `$` is Mulish Light in Sky Blue 300 against Manrope Light in Core/White for the words after it, both 32 on 40 here, drawn by the AirdropTitle helper so the glyph is split off the catalogue string rather than written into the markup; and the standfirst (11667:309319) is Sub-headline 2 300, Manrope Regular 14 on 18.048 tracked -4% in App/Ash, which does NOT grow at the tablet step. The page stepped it to 16px on a 19 line - the box rounded up, and a size no style on this board carries - so it now holds 14 on 18 at every width, in ash rather than muted-foreground.
11667-309576	partial	-	Airdrop claim panel at 375, read live 2026-09-21 with get_design_context on `description` (11667:309596) and `Frame 639` (11667:309599). The Sm rung of the same pair, Manrope Regular 14 on 18 in Core/White over Manrope Regular 12 on 14 in App/Ash, and the pill at radius 12 inset 12 with Mulish Regular 12 on 14. Built in 399c51142, which adds the two radii and the two type steps and leaves the 236x40 box, the 330 column at x=6.5 and the 140x32 CTA floor as they were. Partial for its base's three unanswered questions, plus the snapshot head's search, control and date, left unbuilt as furniture over an unavailable list. THE HEAD lands here from the same commit c6f43e8a9: the standfirst is flat 14 on 18 in Ash at every width now, which is what this board already drew (11667:309582, the sentence at y=38 on an 18 line), and the sky-blue Mulish `$` is the title's at both widths.
11664-305643	partial	-	Airdrop 1VH crop at 768: not opened, and it takes 11667-309312's build unchanged - the description pair and the wallet pill from 399c51142. Every number is the base's, and so are its three open questions. The head's sky-blue `$` and its flat 14-on-18 standfirst land here too, from c6f43e8a9.
# Lane learn-pages, wave 56, 2026-09-21. No browser and no screenshot loop, so column 3 is `-`: each verdict is the source resolved against node data read live this run with get_metadata / get_design_context, plus two get_screenshot reads on the 375 video fragments.
11342-142483	match	-	Course video block at 1440. ONE card on a 16 inset over a 1015 column: stage 1015x571 (16:9), nav 1015x34 14 under it, a rule 14 under the nav, transcript 1015x264 14 under the rule with a 48 time column and the cue text at x=62. Frame 901 (Video transcript / Skai AI powered) is drawn here and hidden on both smaller fragments, so CourseVideoPage now stands that header down at lg; the two CTAs are right-set at 145x34 and 162x34 on an 8 gutter. The page had been drawing two cards and the header at every width. Built this pass, 155791375.
12139-450651	match	-	Course video block at 768. 708x702 on a 16 inset over a 676 column: stage 676x380, nav 676x32 at a 14 seam with Frame 901 hidden and Frame 741 right-set at 288 wide (CTAs 132 and 148), rule and transcript at 14 each, a 48 time column with the text at x=56. Built with 11342-142483 in 155791375.
12139-450594	match	-	The playing twin of 12139-450651, and IDENTICAL to it in every child, offset and hidden flag. The state changes only inside the stage and in which cues are lit, so the page lights the cue at the playhead and every cue before it. 155791375.
12139-450745	match	-	Course video block at 375. 343x531 on a 12 inset over a 319 column: stage 318x179, nav 319x32 at an 8 seam, rule and transcript at 8 each, a 40 time column with no gutter. Frame 901 absent; the nav justifies, the toggle is a 1.5px #123f3c outline on #001615 at radius 8 with a 16 glyph inside and a second 16 help glyph 8 to its right, and Summarize collapses to a 32-square on #56c7f3. 155791375.
12139-450707	match	-	The playing twin of 12139-450745, identical in geometry; the screenshots differ only in the stage's play mark and in the dimmed cues. 155791375.
11730-332977	match	-	University course row at 768. #001615 inside a 1px #123f3c at radius 16, an 8 inset, gap 16, items-start; cover 139x78 at radius 8; a 78-tall justified copy column with the title and summary in Manrope 12/16 (the summary white at 64% on a fixed 350 measure) and a meta row on gap 10 / gap 6 with Mulish 10/14 labels and 12/14 values. Rows run on a 6 seam. Built this pass, a598d4c55.
5442-40192	match	-	The same row at 1440, 729 wide: items-center rather than items-start, labels Mulish 11/14 tracking -0.44, values 12/16, and the summary's fixed measure 288 rather than 350. a598d4c55.
12166-455601	match	-	The same row at 375, where it becomes a 319x260 card: a 303x170 16:9 cover at (8,8), 16 to a 58-tall copy column whose three lines each drop to a 14 box on an 8 seam, and a 12 body inset on the shell. a598d4c55.
12166-455681	match	-	Course progress banner at 768. Two 354 halves - a poster left, this card right at radius 12 on its right corners only - on #122524 with a 2.729 blur, px 14 py 24, a flat 10 between a title row, an 8-tall bar at radius 6 (#123f3c under #56c7f3) and the completion row. The duration pair is opacity 0 on the node and is drawn as an empty slot. Built this pass, c103bd25f.
12166-455730	match	-	The same banner at 375: one card, px 12 py 24, the title row 16 rather than 18 and the completion sentence Mulish 12/14 rather than 14/16, the readout 115x16 at both. c103bd25f.
5460-87941	match	-	Create course at 1440. The column was already built; this pass closed the submit CTA at 680x62, the panel seam at 32 either side of Frame 267's rule, and Frame 350's 32 top inset. Frame 276 draws the empty video state the master fragment 11343-142585 carries, built in 4e5d03094; cc08270b5 for the three.
11986-224020	match	-	Customize drawer at 768, built this pass. Right menu 11986:223972 x=318 y=8, 442x1008 - an 8 inset on three edges - rgba(18,37,36,0.8) over a 20px blur, 1px #123F3C, radius 12, shadow 0 10px 80px rgba(0,0,0,0.25), padding 20, column 402. Head 18/22 Manrope at -0.72 with the 16 close at 20/23; 24 to the body; 12/16 #e0e0e0 line; 16 to the Preset label at 64%; 8 to two rows of two 34-tall cells on an 8 gutter, each an 8 inset around an 18 radio and a Mulish 12/14 label, the selected one rgba(255,255,255,0.14) and the rest #122524 inside 1px #123F3C. Footer two equal halves on an 8 gutter at 16 block padding (197x50), stepping to 62 and radius 16 at lg. Hot contracts and Top guzzlers have no indexer read and select to an explicit unavailable panel naming the missing one.
11986-226555	match	-	Latest-transactions card at 768. section 11986:224225 708x492 at y=508, a 16 gap under its twin; head 46, body Frame 269 388 with Frame 357 at 16,16 676 wide, footer 58 around a 676x42 CTA. Rows now on the board 62 pitch - six 46-tall rows at 0/62/124/186/248/310 with the rule floating 8 clear at y=54, drawn as a ::before in a 16 margin so the pitch is exactly 62. Row interior 16 inset, 52-wide well box (32 well, 20 to its right), two abutting 206.43 columns, a 179.14 right-set pill column, 16 closing. Pill corrected to Mulish 12/14 at 12/6 padding for the board 26 (it had been 12/16 for 28).
11986-223183	partial	-	Explorer 1VH at 768, the CLOSED half of the pair with 11986-224020. Same scroll-0 view as 11983:182767 with the drawer shut; the 46 head, the live Customize trigger and the 62 row pitch all reach it. Partial only for the frame figures with no source - the @ BTC and 24h-change price legs, market cap, the 14-day series, the ecosystem sparklines and the per-block value pill - each drawn as its explicit empty state.
11983-221622	partial	-	Explorer home at 1440. Frame 927 runs a flat 64 between its four top-level blocks (880->944, 1280->1344, 1494->1558) but Frame 978 is 32 INSIDE (124->156, 332->364); the page was applying the 64 at every boundary and now groups the hero, summary card and list cards on gap-6 md:gap-8 within the 64 stack. Head confirmed 46 here too (Frame 27 11983:221706) with the same 82x18 Customize trigger flush right at x=537, and the sections 651+16+651=1318. Partial for Frame 720 11983:222107, a DeFi overview heading with a three-tab venue strip over four 317.5x88 tiles, which useProtocolStats cannot split per venue.
11989-231104	partial	-	Address at 768, read live on its own for the first time. Frame 631 708 at x=30 y=112; address line 24 tall, Frame 270 at y=56 (Overview 266 full width, User info 346 + Token holdings 346 on a 16 gutter, Positions 284, a flat 16 between), Main container at y=782 - a 32 either side of Frame 270. Address printed IN FULL at 768 (the ellipsis had hinged on lg: against a 449-wide 42-character run) and the line controls drawn at the frame 24 rather than 16, with the leading glyph corrected to a chevron. Partial for three of the four 24px icons/action in Frame 992 - a plus, an alarm clock and a share arrow - which are features the explorer does not have; only the copy control is built, the rest are a ruling.
11993-241225	match	-	Analytics at 768, both wave 54 gaps closed. The second tile CTA 11997:241922 is drawn at OPACITY 0 (24H in Mulish 14/18 App/Ash with a 16 chevron), so drawing nothing there matches the board. Each chart nav 11997:241994 is ONE 90x34 outlined dropdown - 1px #123f3c, radius 8, 16/8 padding, Manrope 14/18 at -0.56 white centred, a 16 chevron 8 on - and all four charts now draw it in place of the three-button segmented group, built as the page header twin already was. Options are the 7/30/90 days the hook takes; the frame label 1 year is a demo no hook answers. Frame defect restated not copied: the third tile prints a block-time value under an Average block size label.
